id,country_id,country_name,capital_name,latitude,longitude,continent,region,iso_code,alternative_spellings,localized_names,decision,source_id
NL,NL,Netherlands,Amsterdam,52.351915,4.914694,Europe,Western Europe,NL,,"{""en"": ""Amsterdam"", ""de"": ""Amsterdam"", ""es"": ""Ámsterdam"", ""fr"": ""Amsterdam"", ""pt"": ""Amesterdão"", ""ru"": ""Амстердам"", ""zh"": ""阿姆斯特丹"", ""ar"": ""أمستردام"", ""bn"": ""আমস্টারডাম"", ""el"": ""Άμστερνταμ"", ""hi"": ""ऐम्स्टर्डैम"", ""hu"": ""Amszterdam"", ""id"": ""Amsterdam"", ""it"": ""Amsterdam"", ""ja"": ""アムステルダム"", ""ko"": ""암스테르담"", ""nl"": ""Amsterdam"", ""pl"": ""Amsterdam"", ""sv"": ""Amsterdam"", ""tr"": ""Amsterdam"", ""vi"": ""Amsterdam"", ""fa"": ""آمستردام"", ""he"": ""אמסטרדם"", ""uk"": ""Амстердам"", ""ur"": ""ایمسٹرڈیم"", ""zht"": ""阿姆斯特丹""}",Constitutional capital Amsterdam; government seat The Hague excluded.,1159151519
NO,NO,Norway,Oslo,59.918636,10.748033,Europe,Northern Europe,NO,,"{""en"": ""Oslo"", ""de"": ""Oslo"", ""es"": ""Oslo"", ""fr"": ""Oslo"", ""pt"": ""Oslo"", ""ru"": ""Осло"", ""zh"": ""奥斯陆"", ""ar"": ""أوسلو"", ""bn"": ""অসলো"", ""el"": ""Όσλο"", ""hi"": ""ओस्लो"", ""hu"": ""Oslo"", ""id"": ""Oslo"", ""it"": ""Oslo"", ""ja"": ""オスロ"", ""ko"": ""오슬로"", ""nl"": ""Oslo"", ""pl"": ""Oslo"", ""sv"": ""Oslo"", ""tr"": ""Oslo"", ""vi"": ""Oslo"", ""fa"": ""اسلو"", ""he"": ""אוסלו"", ""uk"": ""Осло"", ""ur"": ""اوسلو"", ""zht"": ""奧斯陸""}",One national capital selected for expanded purposive sample.,1159151281
NZ,NZ,New Zealand,Wellington,-41.299988,174.783266,Oceania,Australia and New Zealand,NZ,,"{""en"": ""Wellington"", ""de"": ""Wellington"", ""es"": ""Wellington"", ""fr"": ""Wellington"", ""pt"": ""Wellington"", ""ru"": ""Веллингтон"", ""zh"": ""惠灵顿"", ""ar"": ""ويلينغتون"", ""bn"": ""ওয়েলিংটন"", ""el"": ""Ουέλλινγκτον"", ""hi"": ""वेलिंग्टन"", ""hu"": ""Wellington"", ""id"": ""Wellington"", ""it"": ""Wellington"", ""ja"": ""ウェリントン"", ""ko"": ""웰링턴"", ""nl"": ""Wellington"", ""pl"": ""Wellington"", ""sv"": ""Wellington"", ""tr"": ""Wellington"", ""vi"": ""Wellington"", ""fa"": ""ولینگتون"", ""he"": ""ולינגטון"", ""uk"": ""Веллінгтон"", ""ur"": ""ویلنگٹن"", ""zht"": ""威靈頓""}",One national capital selected for pilot,1159151699
PE,PE,Peru,Lima,-12.046067,-77.052008,South America,South America,PE,,"{""en"": ""Lima"", ""de"": ""Lima"", ""es"": ""Lima"", ""fr"": ""Lima"", ""pt"": ""Lima"", ""ru"": ""Лима"", ""zh"": ""利马"", ""ar"": ""ليما"", ""bn"": ""লিমা"", ""el"": ""Λίμα"", ""hi"": ""लीमा"", ""hu"": ""Lima"", ""id"": ""Lima"", ""it"": ""Lima"", ""ja"": ""リマ"", ""ko"": ""리마"", ""nl"": ""Lima"", ""pl"": ""Lima"", ""sv"": ""Lima"", ""tr"": ""Lima"", ""vi"": ""Lima"", ""fa"": ""لیما"", ""he"": ""לימה"", ""uk"": ""Ліма"", ""ur"": ""لیما"", ""zht"": ""利馬""}",One national capital selected for expanded purposive sample.,1159151511
PH,PH,Philippines,Manila,14.606105,120.980271,Asia,South-Eastern Asia,PH,,"{""en"": ""Manila"", ""de"": ""Manila"", ""es"": ""Manila"", ""fr"": ""Manille"", ""pt"": ""Manila"", ""ru"": ""Манила"", ""zh"": ""马尼拉"", ""ar"": ""مانيلا"", ""bn"": ""ম্যানিলা"", ""el"": ""Μανίλα"", ""hi"": ""मनीला"", ""hu"": ""Manila"", ""id"": ""Manila"", ""it"": ""Manila"", ""ja"": ""マニラ"", ""ko"": ""마닐라"", ""nl"": ""Manilla"", ""pl"": ""Manila"", ""sv"": ""Manila"", ""tr"": ""Manila"", ""vi"": ""Manila"", ""fa"": ""مانیل"", ""he"": ""מנילה"", ""uk"": ""Маніла"", ""ur"": ""منیلا"", ""zht"": ""馬尼拉""}",One national capital selected for expanded purposive sample.,1159151525
PK,PK,Pakistan,Islamabad,33.701942,73.164689,Asia,Southern Asia,PK,,"{""en"": ""Islamabad"", ""de"": ""Islamabad"", ""es"": ""Islamabad"", ""fr"": ""Islamabad"", ""pt"": ""Islamabad"", ""ru"": ""Исламабад"", ""zh"": ""伊斯兰堡"", ""ar"": ""إسلام آباد"", ""bn"": ""ইসলামাবাদ"", ""el"": ""Ισλαμαμπάντ"", ""hi"": ""इस्लामाबाद"", ""hu"": ""Iszlámábád"", ""id"": ""Islamabad"", ""it"": ""Islamabad"", ""ja"": ""イスラマバード"", ""ko"": ""이슬라마바드"", ""nl"": ""Islamabad"", ""pl"": ""Islamabad"", ""sv"": ""Islamabad"", ""tr"": ""İslamabad"", ""vi"": ""Islamabad"", ""fa"": ""اسلامآباد"", ""he"": ""אסלאמאבאד"", ""uk"": ""Ісламабад"", ""ur"": ""اسلام آباد"", ""zht"": ""伊斯蘭瑪巴德""}",One national capital selected for expanded purposive sample.,1159150645
PL,PL,Poland,Warsaw,52.251947,20.998054,Europe,Eastern Europe,PL,,"{""en"": ""Warsaw"", ""de"": ""Warschau"", ""es"": ""Varsovia"", ""fr"": ""Varsovie"", ""pt"": ""Varsóvia"", ""ru"": ""Варшава"", ""zh"": ""华沙"", ""ar"": ""وارسو"", ""bn"": ""ওয়ারশ"", ""el"": ""Βαρσοβία"", ""hi"": ""वारसॉ"", ""hu"": ""Varsó"", ""id"": ""Warsawa"", ""it"": ""Varsavia"", ""ja"": ""ワルシャワ"", ""ko"": ""바르샤바"", ""nl"": ""Warschau"", ""pl"": ""Warszawa"", ""sv"": ""Warszawa"", ""tr"": ""Varşova"", ""vi"": ""Warszawa"", ""fa"": ""ورشو"", ""he"": ""ורשה"", ""uk"": ""Варшава"", ""ur"": ""وارسا"", ""zht"": ""華沙""}",One national capital selected for expanded purposive sample.,1159151299
PT,PT,Portugal,Lisbon,38.724669,-9.146812,Europe,Southern Europe,PT,,"{""en"": ""Lisbon"", ""de"": ""Lissabon"", ""es"": ""Lisboa"", ""fr"": ""Lisbonne"", ""pt"": ""Lisboa"", ""ru"": ""Лиссабон"", ""zh"": ""里斯本"", ""ar"": ""لشبونة"", ""bn"": ""লিসবন"", ""el"": ""Λισαβόνα"", ""hi"": ""लिस्बन"", ""hu"": ""Lisszabon"", ""id"": ""Lisboa"", ""it"": ""Lisbona"", ""ja"": ""リスボン"", ""ko"": ""리스본"", ""nl"": ""Lissabon"", ""pl"": ""Lizbona"", ""sv"": ""Lissabon"", ""tr"": ""Lizbon"", ""vi"": ""Lisboa"", ""fa"": ""لیسبون"", ""he"": ""ליסבון"", ""uk"": ""Лісабон"", ""ur"": ""لزبن"", ""zht"": ""里斯本""}",One national capital selected for expanded purposive sample.,1159151273
RU,RU,Russia,Moscow,55.75411,37.613577,Europe,Eastern Europe,RU,,"{""en"": ""Moscow"", ""de"": ""Moskau"", ""es"": ""Moscú"", ""fr"": ""Moscou"", ""pt"": ""Moscovo"", ""ru"": ""Москва"", ""zh"": ""莫斯科"", ""ar"": ""موسكو"", ""bn"": ""মস্কো"", ""el"": ""Μόσχα"", ""hi"": ""मास्को"", ""hu"": ""Moszkva"", ""id"": ""Moskwa"", ""it"": ""Mosca"", ""ja"": ""モスクワ"", ""ko"": ""모스크바"", ""nl"": ""Moskou"", ""pl"": ""Moskwa"", ""sv"": ""Moskva"", ""tr"": ""Moskova"", ""vi"": ""Moskva"", ""fa"": ""مسکو"", ""he"": ""מוסקבה"", ""uk"": ""Москва"", ""ur"": ""ماسکو"", ""zht"": ""莫斯科""}",One national capital selected for expanded purposive sample.,1159151585
SA,SA,Saudi Arabia,Riyadh,24.642779,46.770796,Asia,Western Asia,SA,Ar-Riyadh,"{""en"": ""Riyadh"", ""de"": ""Riad"", ""es"": ""Riad"", ""fr"": ""Riyad"", ""pt"": ""Riade"", ""ru"": ""Эр-Рияд"", ""zh"": ""利雅德"", ""ar"": ""الرياض"", ""bn"": ""রিয়াদ"", ""el"": ""Ριάντ"", ""hi"": ""रियाद"", ""hu"": ""Rijád"", ""id"": ""Riyadh"", ""it"": ""Riad"", ""ja"": ""リヤド"", ""ko"": ""리야드"", ""nl"": ""Riyad"", ""pl"": ""Rijad"", ""sv"": ""Riyadh"", ""tr"": ""Riyad"", ""vi"": ""Riyadh"", ""fa"": ""ریاض"", ""he"": ""ריאד"", ""uk"": ""Ер-Ріяд"", ""ur"": ""ریاض"", ""zht"": ""利雅德""}",One national capital selected for pilot,1159151581
SE,SE,Sweden,Stockholm,59.352706,18.095389,Europe,Northern Europe,SE,,"{""en"": ""Stockholm"", ""de"": ""Stockholm"", ""es"": ""Estocolmo"", ""fr"": ""Stockholm"", ""pt"": ""Estocolmo"", ""ru"": ""Стокгольм"", ""zh"": ""斯德哥尔摩"", ""ar"": ""ستوكهولم"", ""bn"": ""স্টকহোম"", ""el"": ""Στοκχόλμη"", ""hi"": ""स्टॉकहोम"", ""hu"": ""Stockholm"", ""id"": ""Stockholm"", ""it"": ""Stoccolma"", ""ja"": ""ストックホルム"", ""ko"": ""스톡홀름"", ""nl"": ""Stockholm"", ""pl"": ""Sztokholm"", ""sv"": ""Stockholm"", ""tr"": ""Stockholm"", ""vi"": ""Stockholm"", ""fa"": ""استکهلم"", ""he"": ""סטוקהולם"", ""uk"": ""Стокгольм"", ""ur"": ""اسٹاک ہوم"", ""zht"": ""斯德哥爾摩""}",One national capital selected for expanded purposive sample.,1159151507
SG,SG,Singapore,Singapore,1.294979,103.853875,Asia,South-Eastern Asia,SG,,"{""en"": ""Singapore"", ""de"": ""Singapur"", ""es"": ""Singapur"", ""fr"": ""Singapour"", ""pt"": ""Singapura"", ""ru"": ""Сингапур"", ""zh"": ""新加坡"", ""ar"": ""سنغافورة"", ""bn"": ""সিঙ্গাপুর"", ""el"": ""Σιγκαπούρη"", ""hi"": ""सिंगापुर"", ""hu"": ""Szingapúr"", ""id"": ""Singapura"", ""it"": ""Singapore"", ""ja"": ""シンガポール"", ""ko"": ""싱가포르"", ""nl"": ""Singapore"", ""pl"": ""Singapur"", ""sv"": ""Singapore"", ""tr"": ""Singapur"", ""vi"": ""Singapore"", ""fa"": ""سنگاپور"", ""he"": ""סינגפור"", ""uk"": ""Сінгапур"", ""ur"": ""سنگاپور"", ""zht"": ""新加坡""}",City-state; Singapore city point is the canonical capital. Too small for the 110m country-outline dataset.,1159151627
SN,SN,Senegal,Dakar,14.717778,-17.475076,Africa,Western Africa,SN,,"{""en"": ""Dakar"", ""de"": ""Dakar"", ""es"": ""Dakar"", ""fr"": ""Dakar"", ""pt"": ""Dakar"", ""ru"": ""Дакар"", ""zh"": ""达喀尔"", ""ar"": ""داكار"", ""bn"": ""ডাকার"", ""el"": ""Ντακάρ"", ""hi"": ""डकार"", ""hu"": ""Dakar"", ""id"": ""Dakar"", ""it"": ""Dakar"", ""ja"": ""ダカール"", ""ko"": ""다카르"", ""nl"": ""Dakar"", ""pl"": ""Dakar"", ""sv"": ""Dakar"", ""tr"": ""Dakar"", ""vi"": ""Dakar"", ""fa"": ""داکار"", ""he"": ""דקר"", ""uk"": ""Дакар"", ""ur"": ""ڈاکار"", ""zht"": ""達卡""}",One national capital selected for expanded purposive sample.,1159151513
TH,TH,Thailand,Bangkok,13.751945,100.514699,Asia,South-Eastern Asia,TH,Krung Thep,"{""en"": ""Bangkok"", ""de"": ""Bangkok"", ""es"": ""Bangkok"", ""fr"": ""Bangkok"", ""pt"": ""Banguecoque"", ""ru"": ""Бангкок"", ""zh"": ""曼谷"", ""ar"": ""بانكوك"", ""bn"": ""ব্যাংকক"", ""el"": ""Μπανγκόκ"", ""hi"": ""बैंकॉक"", ""hu"": ""Bangkok"", ""id"": ""Bangkok"", ""it"": ""Bangkok"", ""ja"": ""バンコク"", ""ko"": ""방콕"", ""nl"": ""Bangkok"", ""pl"": ""Bangkok"", ""sv"": ""Bangkok"", ""tr"": ""Bangkok"", ""vi"": ""Bangkok"", ""fa"": ""بانکوک"", ""he"": ""בנגקוק"", ""uk"": ""Бангкок"", ""ur"": ""بنکاک"", ""zht"": ""曼谷""}",One national capital selected for pilot,1159151509
TR,TR,Turkey,Ankara,39.929184,32.862446,Asia,Western Asia,TR,,"{""en"": ""Ankara"", ""de"": ""Ankara"", ""es"": ""Ankara"", ""fr"": ""Ankara"", ""pt"": ""Ancara"", ""ru"": ""Анкара"", ""zh"": ""安卡拉"", ""ar"": ""أنقرة"", ""bn"": ""আঙ্কারা"", ""el"": ""Άγκυρα"", ""hi"": ""अंकारा"", ""hu"": ""Ankara"", ""id"": ""Ankara"", ""it"": ""Ankara"", ""ja"": ""アンカラ"", ""ko"": ""앙카라"", ""nl"": ""Ankara"", ""pl"": ""Ankara"", ""sv"": ""Ankara"", ""tr"": ""Ankara"", ""vi"": ""Ankara"", ""fa"": ""آنکارا"", ""he"": ""אנקרה"", ""uk"": ""Анкара"", ""ur"": ""انقرہ"", ""zht"": ""安卡拉""}",One national capital selected for expanded purposive sample.,1159151255
TZ,TZ,United Republic of Tanzania,Dodoma,-6.183306,35.750004,Africa,Eastern Africa,TZ,,"{""en"": ""Dodoma"", ""de"": ""Dodoma"", ""es"": ""Dodoma"", ""fr"": ""Dodoma"", ""pt"": ""Dodoma"", ""ru"": ""Додома"", ""zh"": ""多多马"", ""ar"": ""دودوما"", ""bn"": ""দোদোমা"", ""el"": ""Ντοντόμα"", ""hi"": ""दोदोमा"", ""hu"": ""Dodoma"", ""id"": ""Dodoma"", ""it"": ""Dodoma"", ""ja"": ""ドドマ"", ""ko"": ""도도마"", ""nl"": ""Dodoma"", ""pl"": ""Dodoma"", ""sv"": ""Dodoma"", ""tr"": ""Dodoma"", ""vi"": ""Dodoma"", ""fa"": ""دودوما"", ""he"": ""דודומה"", ""uk"": ""Додома"", ""ur"": ""ڈوڈوما"", ""zht"": ""多多马""}",Dodoma is the capital under the Dodoma Capital City (Declaration) Act 2018; override Natural Earth's older primary-capital flag for Dar es Salaam.,1159149731
UA,UA,Ukraine,Kyiv,50.435313,30.514682,Europe,Eastern Europe,UA,Kyiv,"{""en"": ""Kyiv"", ""de"": ""Kiew"", ""es"": ""Kiev"", ""fr"": ""Kiev"", ""pt"": ""Kiev"", ""ru"": ""Киев"", ""zh"": ""基辅"", ""ar"": ""كييف"", ""bn"": ""কিয়েভ"", ""el"": ""Κίεβο"", ""hi"": ""कीव"", ""hu"": ""Kijev"", ""id"": ""Kiev"", ""it"": ""Kiev"", ""ja"": ""キエフ"", ""ko"": ""키예프"", ""nl"": ""Kiev"", ""pl"": ""Kijów"", ""sv"": ""Kiev"", ""tr"": ""Kiev"", ""vi"": ""Kiev"", ""fa"": ""کییف"", ""he"": ""קייב"", ""uk"": ""Київ"", ""ur"": ""کیف"", ""zht"": ""基輔""}",One national capital selected for expanded purposive sample.,1159151495
US,US,United States of America,"Washington, D.C.",38.901495,-77.011364,North America,Northern America,US,Washington D.C.,"{""en"": ""Washington"", ""de"": ""Washington"", ""es"": ""Washington D. C."", ""fr"": ""Washington"", ""pt"": ""Washington"", ""ru"": ""Вашингтон"", ""zh"": ""华盛顿哥伦比亚特区"", ""ar"": ""واشنطن"", ""bn"": ""ওয়াশিংটন"", ""el"": ""Ουάσινγκτον"", ""hi"": ""वॉशिंगटन डी॰ सी॰"", ""hu"": ""Washington"", ""id"": ""Washington"", ""it"": ""Washington"", ""ja"": ""ワシントンD.C."", ""ko"": ""워싱턴 D.C."", ""nl"": ""Washington D.C."", ""pl"": ""Waszyngton"", ""sv"": ""Washington"", ""tr"": ""Washington"", ""vi"": ""Washington"", ""fa"": ""واشینگتن"", ""he"": ""וושינגטון די. סי."", ""uk"": ""Вашингтон"", ""ur"": ""واشنگٹن ڈی سی"", ""zht"": ""華盛頓哥倫比亞特區""}",One national capital selected for pilot,1159151573
VN,VN,Vietnam,Hanoi,21.035273,105.848068,Asia,South-Eastern Asia,VN,H,"{""en"": ""Hanoi"", ""de"": ""Hanoi"", ""es"": ""Hanói"", ""fr"": ""Hanoï"", ""pt"": ""Hanói"", ""ru"": ""Ханой"", ""zh"": ""河内"", ""ar"": ""هانوي"", ""bn"": ""হ্যানয়"", ""el"": ""Ανόι"", ""hi"": ""हनोई"", ""hu"": ""Hanoi"", ""id"": ""Hanoi"", ""it"": ""Hanoi"", ""ja"": ""ハノイ"", ""ko"": ""하노이"", ""nl"": ""Hanoi"", ""pl"": ""Hanoi"", ""sv"": ""Hanoi"", ""tr"": ""Hanoi"", ""vi"": ""Hà Nội"", ""fa"": ""هانوی"", ""he"": ""האנוי"", ""uk"": ""Ханой"", ""ur"": ""ہنوئی"", ""zht"": ""河內市""}",One national capital selected for expanded purposive sample.,1159151251
ZA,ZA,South Africa,Pretoria,-25.704975,28.227483,Africa,Southern Africa,ZA,,"{""en"": ""Pretoria"", ""de"": ""Pretoria"", ""es"": ""Pretoria"", ""fr"": ""Pretoria"", ""pt"": ""Pretória"", ""ru"": ""Претория"", ""zh"": ""比勒陀利亚"", ""ar"": ""بريتوريا"", ""bn"": ""প্রিটোরিয়া"", ""el"": ""Πρετόρια"", ""hi"": ""प्रिटोरिया"", ""hu"": ""Pretoria"", ""id"": ""Pretoria"", ""it"": ""Pretoria"", ""ja"": ""プレトリア"", ""ko"": ""프리토리아"", ""nl"": ""Pretoria"", ""pl"": ""Pretoria"", ""sv"": ""Pretoria"", ""tr"": ""Pretoria"", ""vi"": ""Pretoria"", ""fa"": ""پرتوریا"", ""he"": ""פרטוריה"", ""uk"": ""Преторія"", ""ur"": ""پریٹوریا"", ""zht"": ""普利托利亞""}",Executive capital; legislative Cape Town and judicial Bloemfontein excluded,1159150661
